"Cidade","UF","Salario.Bruto","Horas.Diarias","Tempo.de.Empresa","Experiencia.Profissional","Iniciativa.Privada.ou.Concursado","Cargo","Formacao","Pos.Graduacao.ou.Certificacao"
"Campinas","SP",2940,8,4,5,"Iniciativa Privada","Analista de Sistema- test analyst","Ciencia da Computacao","TRUE"
"Belo Horizonte","MG",2900,8.4,7,4,"Iniciativa Privada","Analista PL","Bacharel em Sistemas de Informações","FALSE"
"Cuiabá","MT",2890,8,2.66,4,"Concursado","Analista de negocios/Analista de Suporte/Analista de sistemas","Bacharel em Ciencias da Computação","TRUE"
"Belo Horizonte","MG",2800,8,0.5,3,"Iniciativa Privada","Analista Programador","Bacharel em Ciência da Computação","FALSE"
"Fortaleza","CE",2800,8,1.16,4,,"Analista de Sistemas/Desenvolvedor",,"TRUE"
"Rio de Janeiro","RJ",2800,8,4,4,"Iniciativa Privada","Analista de Sistemas",,"FALSE"
"Belo Horizonte","MG",2763,8,0.16,4,"Iniciativa Privada","Analista Delphi/C#","Bacharel em Sistemas de Informações","FALSE"
"Belo Horizonte","MG",2750,8.8,5,4,"Iniciativa Privada","Programador J2EE PL","Bacharel em Sistemas de Informações","FALSE"
"Uberlândia","MG",2735,8,2,3,"Iniciativa Privada","Gerente de Projetos / Analista de Negócio",,"FALSE"
"Rio de Janeiro","RJ",2650,8,2,3,"Iniciativa Privada","Analista de Sistemas/Desenvolvedor","Ciência da Computação","FALSE"
"Belo Horizonte","MG",2508,8,0.08,4,"Iniciativa Privada","Desenvolvedor Java Junior","Bacharel em Sistemas de Informação","TRUE"
"Belo Horizonte","MG",2500,8,2,2,"Iniciativa Privada","Desenvolvedor Java","Ciência da Computação","TRUE"
"Belo Horizonte","MG",2500,8,2,2,"Iniciativa Privada","Desenvolvedor Java","Sistemas de Informação","FALSE"
"Belo Horizonte","MG",2500,8,2,2,"Iniciativa Privada","Programador J2EE","Bacharel em Ciência da Computação","FALSE"
"Belo Horizonte","MG",2500,8,0.08,3,"Iniciativa Privada","Desenvolvimento Java","Ciência da Computação","FALSE"
"Campinas","SP",2500,8,2,2,"Iniciativa Privada","Engenheiro de software","Graduado em Ciência da Computação","FALSE"
